issue,project,url,estimate,closed,labels,milestone
Card size - LM,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/57,,2018-09-05 16:25:05+00:00,,
Event card,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/56,,2018-08-28 18:33:28+00:00,,
Typography - link style ,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/55,,2018-02-23 20:31:42+00:00,,
Post-release cleanup / errata,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/54,,2018-09-05 16:24:02+00:00,,
Add robots.txt with link to sitemap,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/53,,2017-09-26 15:17:41+00:00,,
"As a user, I want to view previous blog posts by year and month so that I can read past updates.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/52,1.0,2017-09-22 15:36:33+00:00,,CDH Web 2.0
"As a user, I want to subscribe to a blog post feed so I can read CDH updates in the feed reader of my choosing.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/51,1.0,2017-09-21 21:49:07+00:00,,CDH Web 2.0
"As a user, I want to see an error message when I hit a nonexistent page so that I know what went wrong.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/50,0.0,2017-09-21 20:54:08+00:00,,
"As a user reading a blog post, I want links to next and previous posts so I can browse contents by date.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/48,1.0,2018-08-30 17:28:25+00:00,,
Navigation - hide the divider line when not displaying secondary menu ,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/47,,2017-09-26 16:47:31+00:00,,
Background color - blog and text page ,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/46,,2017-09-26 17:25:30+00:00,,
Landing page - banner image,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/45,,2017-09-25 14:57:34+00:00,,
Navigation - links disappear after resizing ,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/44,,2018-08-28 18:37:17+00:00,,
Typography - both fonts are not loading,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/43,,2017-09-25 14:22:42+00:00,,
Project S - column issue,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/42,,2017-09-25 14:33:55+00:00,,
Manual cleanup needed after import,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/41,,2017-10-16 21:23:47+00:00,,
"As a user, I want to browse a paginated list of blog posts so that I can find and read older updates about CDH and its work.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/40,1.0,2017-09-19 19:07:32+00:00,,CDH Web 2.0
"As a content editor, I want to create and edit event locations so that I can enter them once and have them displayed consistently across the site.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/38,1.0,2017-09-13 13:51:27+00:00,,CDH Web 2.0
"As a content editor, I want to create and edit event types so I can categorize kinds of events.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/37,1.0,2017-08-31 18:09:45+00:00,,CDH Web 2.0
As an admin I want to edit and create resource types so I can determine what kind of links and resources can be associated with people and projects.,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/36,1.0,2017-08-31 18:56:34+00:00,,CDH Web 2.0
"As an admin, I want to associate urls for other resources with projects so that I can provide links to materials related to projects.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/35,1.0,2017-09-12 23:56:54+00:00,,CDH Web 2.0
"As an admin, I want to create and edit project roles and associate people as members of projects so that I can document project contributors.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/34,1.0,2017-08-31 19:53:36+00:00,,CDH Web 2.0
"As an admin, I want to create and edit grant types and associate grants with projects, so that I can document when and which kinds of grants a project received from CDH.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/33,1.0,2017-08-31 19:08:29+00:00,,CDH Web 2.0
d,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/32,,2017-08-30 19:42:27+00:00,,
Determine roles and permissions,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/30,0.0,2017-09-26 16:26:37+00:00,,CDH Web 2.0
"As an admin, I want user information and titles automatically populated so I don't have to manually enter it.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/29,1.0,2017-08-30 20:10:37+00:00,,CDH Web 2.0
"As a user, I want to view blog posts so that I can read updates about CDH and its work.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/28,2.0,2017-09-19 19:04:17+00:00,,CDH Web 2.0
"As a user, I want to view previous events by semester so that I can get a sense of event and workshop offerings.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/27,1.0,2017-09-22 19:06:49+00:00,,CDH Web 2.0
"As a user, I want to download event information as ical so I can add it to my personal calendar.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/26,1.0,2017-09-19 18:05:09+00:00,,CDH Web 2.0
"As a user, I want to view event details so I can decide if I'm interested and know when and where to attend.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/25,1.0,2017-09-21 20:58:24+00:00,,CDH Web 2.0
As a user I want to view a list of upcoming events so that I can find and attend events that interest me.,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/24,1.0,2017-08-31 19:53:08+00:00,,CDH Web 2.0
"As a user, I want to see details about a staff member so I can learn about their role, research interests, and how to contact them.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/23,1.0,2017-09-19 18:36:19+00:00,,CDH Web 2.0
As a user I want to view a list of staff members so I can get an idea of the people who work at the CDH.,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/22,1.0,2017-09-19 19:13:14+00:00,,CDH Web 2.0
"As a user, I want to view sponsored project details so I can read about project goals, progress, and contributors.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/21,1.0,2017-09-21 21:43:09+00:00,,CDH Web 2.0
