issue,project,url,estimate,closed,labels,milestone
"As a content editor, I want to be able to view subscription events associated with an account so that I can see activity relating to an account at a glance.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/43,,2017-10-25 18:17:17+00:00,,Logbooks Admin
"As a content editor, I want to be be able to see information about deposits refunded so that I can learn more about the habits of Beach and her clerks.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/42,,2017-10-31 21:56:06+00:00,,Logbooks Admin
"As a content editor, I want to add and edit subscription information so I can track how and when members interacted with the library.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/40,,2017-10-12 17:28:25+00:00,,Logbooks Admin
"As a content editor, I want to associate addresses with accounts so I can track when and where library members were in Paris and if they received mail care of another person.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/39,,2017-11-15 16:01:34+00:00,tested needs attention,
"As a content editor, I want to create and edit account records so I can track how people associated with the library.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/38,,2017-10-12 17:23:29+00:00,,Logbooks Admin
"As a content editor, I want to see an indicator if a person has an account associated so that I can distinguish library members from others associated with the library.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/37,,2017-10-25 16:53:17+00:00,,Logbooks Admin
"As a global admin, I want a one-time import of data from the logbook XML files so that I can manage lending library account and subscription information in the database.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/36,,2017-11-09 15:09:20+00:00,,Logbooks Admin
"As a content editor, when I'm editing a person I want to associate addresses via autocomplete so the page loads faster and the list of addresses don't take up as much space.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/35,1.0,2017-09-30 21:55:55+00:00,,Personography Admin
"As a content editor, when I'm editing a person I want to add nationalities via autocomplete so the page loads faster and the list of countries don't take up as much space.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/34,1.0,2017-09-30 21:56:06+00:00,,Personography Admin
"As a content editor, when I'm viewing the list of people I want to see nationalities and number of associated addresses so I scan for records that need more data.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/33,1.0,2017-09-30 21:57:04+00:00,,Personography Admin
Admin interface adjustments,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/32,,2017-09-20 15:41:03+00:00,,Personography Admin
VIAF and Dates,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/31,,2017-10-11 21:18:03+00:00,,
Neither delete nor save,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/30,,2017-08-17 13:24:35+00:00,,
VIAF disappears when resaving the record,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/29,,2017-10-11 18:12:36+00:00,,
Bibliography,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/28,,2020-01-08 21:29:05+00:00,,
Optional start/end dates for person addresses,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/27,0.0,2018-02-17 03:03:46+00:00,,Data Entry improvements
Display logbook data with personography entrie,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/26,,2017-10-05 17:25:28+00:00,,
Question 1,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/25,,2017-08-15 14:49:25+00:00,,
VIAF - help text to clarify format and entry options,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/24,0.0,2017-08-24 01:19:43+00:00,,Personography Admin
Name fields (first/last?),mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/23,,2017-09-12 14:11:39+00:00,,Personography Admin
"VIAF - display number, allow number entry",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/22,0.0,2017-08-24 01:19:33+00:00,,Personography Admin
"As a content editor, when I edit an address with latitude and longitude I want to see a map so I can easily check that the coordinates.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/21,1.0,2017-08-21 15:30:48+00:00,,Personography Admin
" As a data editor, when I’m editing a person or address record, I want to be able to add footnotes on the same page so that I can easily document research about names and locations.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/20,0.0,2017-08-24 01:18:00+00:00,,Personography Admin
"As a content editor, I want to add a new or edit an existing footnote and associate it with any other kind of record in the system so that I can document evidence related to assertions made elsewhere in the data.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/19,0.0,2017-08-14 19:11:36+00:00,,Personography Admin
"As a content editor, I want to add and edit professions so I can categorize people associated with the library by their work.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/18,0.0,2017-08-15 22:11:24+00:00,,Personography Admin
"As a content editor, I want to add and edit countries so I can manage the list of countries available for documenting people’s nationalities.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/17,0.0,2017-08-21 15:31:50+00:00,,Personography Admin
"As a content editor, when I edit a person and add or change the VIAF ID, I want the birth and death dates in the system populated from data available in VIAF in order to make data entry more efficient.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/16,1.0,2017-09-20 15:45:43+00:00,,Personography Admin
"As a content editor, I want to add and edit countries so I can manage the list of countries available for documenting people’s nationalities.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/15,1.0,2017-08-24 01:17:52+00:00,,Personography Admin
"As a global admin, when personography data is imported I want birth and death dates populated from the XML if available or else from VIAF if an id is available, so that dates will be complete and corrected dates will not be lost on import.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/14,1.0,2017-08-15 22:23:05+00:00,,Personography Admin
"As a content editor, I want to add URLs to a person record so I can document the person's wikipedia URL or other relevant websites.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/13,1.0,2017-08-14 19:09:23+00:00,,Personography Admin
content editor group,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/12,1.0,2017-08-24 01:18:28+00:00,,Personography Admin
"As a content editor, I want to add relationships between people in the database so that I can document known associates.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/11,1.0,2017-09-30 21:57:28+00:00,,Personography Admin
"As a content editor, I want to create and edit person records so that I can document biographical details about people associated with Sylvia Beach's lending library.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/10,1.0,2017-08-21 15:15:15+00:00,,Personography Admin
"As a global admin, I want a one-time import of data from the personography XML file so that I can manage person information in the database.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/9,3.0,2017-10-02 22:38:30+00:00,,Personography Admin
Build books module and tests,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/8,,2017-07-20 14:14:55+00:00,,Initial MEP Database
Build accounts module and tests,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/7,,2017-07-20 14:14:55+00:00,,Initial MEP Database
Build people module,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/6,,2017-07-20 14:14:55+00:00,,
Configure PUCAS installation,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/5,,2017-06-22 13:38:43+00:00,,Initial MEP Database
Initial README with badges,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/4,,2017-06-22 12:50:15+00:00,,Initial MEP Database
Configure Travis-CI testing,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/3,,2017-06-22 12:31:46+00:00,,
Build initial Django project,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/2,,2017-06-22 12:27:22+00:00,,
Add chatops QA deploy,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/1,,2017-07-20 14:14:55+00:00,,Initial MEP Database
Floated images not displaying side by side,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/326,,2020-04-30 20:19:56+00:00,bug,3.4
Upgrade django + wagtail,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/323,,2020-01-24 19:58:54+00:00,chore,3.4
Update captioned image to require contextual alternative text,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/322,,2020-01-06 19:30:21+00:00,chore,3.4
"As a content editor, I want to create linkable anchors in documents so that I can reference specific sections of my content on other pages.",ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/321,0.0,2020-01-03 17:06:27+00:00,,
"As a content editor, I want to add SVG images to content pages so that I can include data visualizations and other scalable images.",ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/319,1.0,2020-01-03 16:20:57+00:00,,
"As a content editor, I want to embed external content in editorial and other pages, so that I can include dynamic content in essays.",ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/318,2.0,2020-01-09 16:18:38+00:00,,
update solr mirror to fix builds,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/310,,2019-06-11 19:24:06+00:00,chore,
Two or more successive rows of side-by-side images don't stack correctly,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/304,,2019-06-04 14:57:37+00:00,bug,
Editorial tile display issue on mobile,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/303,,2019-06-04 19:16:55+00:00,bug,
switch loading animation to use .gif,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/299,,2019-05-08 15:17:53+00:00,chore,
Unify wagtail image block types,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/293,1.0,2019-04-10 22:14:02+00:00,,
"As a content editor, I want to insert block quotes into the page so that I can use a special style to highlighted quoted material.",ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/289,1.0,2019-04-09 20:51:05+00:00,,3.2
"As a content editor, I want to control how my images are positioned relative to other content so that I can flow text around images and position images side-by-side.",ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/288,2.0,2019-04-10 19:16:07+00:00,,3.2
Check for blockquote style and add to Zeplin,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/286,,2019-04-08 19:41:55+00:00,chore;design,3.2
Test design essay layout and think about side-by-side images in wagtail editor,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/285,,2019-04-09 19:17:50+00:00,chore;design,3.2
"As an admin, I want to add one or several new items from HathiTrust via the admin interface so that I can add content to the site if I identify something that should be included in the archive.",ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/278,3.0,2019-04-09 19:09:45+00:00,,3.2
Last tile on editorial main page misaligned ,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/276,,2019-04-04 17:39:44+00:00,,
editorial page should list newest essays first,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/275,0.0,2019-04-04 17:43:40+00:00,,3.2
Problem retrieving a page file within a zip folder on Windows,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/271,0.0,2019-04-11 19:07:31+00:00,bug,3.2
contributor profile template requests incorrect sized image on retina screens,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/270,0.0,2019-04-02 16:15:37+00:00,,3.2
Keyword box disappears in Chrome after initial search,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/268,,2020-01-06 15:59:57+00:00,,
Style issues with contributor photos on mobile,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/267,1.0,2019-03-04 21:29:36+00:00,,3.1
Add social media links to footer,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/264,1.0,2019-03-01 14:21:38+00:00,,
Add and configure automated focal point detection in Wagtail,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/261,,2019-03-01 14:34:01+00:00,chore;wontfix,
Archive collection buttons are displaying at full width in Chrome,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/259,1.0,2019-02-27 21:12:45+00:00,,3.1
Remove character limit from publisher field,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/258,,2019-02-26 21:30:58+00:00,,
Pagination is off on search the archive page on mobile,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/256,1.0,2019-02-28 19:46:04+00:00,,3.1
"""Advisory Board"" heading on contributor page is too small on mobile",ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/255,,2019-02-21 21:01:04+00:00,design,3.1
Style issues with archive tiles on mobile,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/254,1.0,2019-03-01 14:47:24+00:00,,3.1
Editorial tile style issues on mobile,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/253,1.0,2019-03-01 14:49:25+00:00,,3.1
Scroll on mobile is not smooth ,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/252,1.0,2019-02-27 14:34:00+00:00,,3.1
"Adding a 7th collection makes the ""View and search the archive"" button into a tile",ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/251,,2019-02-26 21:36:48+00:00,,3.1
Site flashes gray in Chrome when toggling between tabs after PPA tab is inactive for a certain period of time,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/250,,2019-02-25 15:22:47+00:00,bug;wontfix,
Switch to jest for all frontend testing,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/249,,2019-04-08 19:46:27+00:00,chore;duplicate,
"As a user, I want my search results within a work to be loaded as soon as I enter a search term so that my search experience is consistent across pages. ",ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/247,5.0,2019-04-10 18:57:57+00:00,,3.2
Links in footer aren't correctly spaced,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/246,0.0,2019-02-27 22:55:41+00:00,bug,3.1
Switch to webpack for static asset management,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/245,,2019-02-18 15:25:22+00:00,chore,
Design a search result page placeholder image,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/244,,2019-02-26 01:13:26+00:00,design,3.1
Update contributor page styles to include photos,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/243,2.0,2019-03-01 18:28:29+00:00,,3.1
Update contributor page design to include photos,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/242,2.0,2019-02-18 20:39:22+00:00,design,3.1
"As a content editor, I want to be able to add a photo to a contributor so that users can associate a face with a name and role.",ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/241,1.0,2019-02-27 14:43:15+00:00,,3.1
"As an admin, I want to add one or several new items from HathiTrust with a script so that I can add content to the site if I identify something that should be included in the archive.",ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/240,5.0,2019-04-09 19:16:32+00:00,,3.2
Homepage logo placement is broken without javascript,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/239,1.0,2019-02-28 15:01:26+00:00,bug,3.1
Archive search accessibility issues ,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/238,1.0,2019-02-22 18:02:24+00:00,accessibility,3.1
Search results dt and dd should be contained by dl,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/237,,2019-02-04 21:26:52+00:00,accessibility;wontfix,
Archive search checkbox inputs should be grouped,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/236,2.0,2019-02-22 18:02:16+00:00,,3.1
All pages must contain a level 1 heading,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/235,1.0,2019-02-22 18:03:02+00:00,accessibility,3.1
keyboard navigation,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/234,2.0,2019-02-28 21:24:34+00:00,accessibility,3.1
Search loading animation layout is broken in Firefox,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/233,1.0,2019-02-27 23:21:21+00:00,bug,3.1
Add error handling for collection id on archive search form,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/232,1.0,2019-02-27 19:45:19+00:00,,3.1
Remove unused Semantic UI components,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/230,,2018-12-20 21:20:31+00:00,chore,
Implement HTTP strict transport security (HSTS),ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/229,,2018-12-20 17:19:30+00:00,chore,
Style editorial landing page text,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/227,,2018-12-20 22:08:48+00:00,,
Hyperlink styles not showing up everywhere on site,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/226,,2018-12-20 21:33:31+00:00,accessibility;bug,
Remove <h4> from wagtail editing interface or add styles for <h4>,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/225,,2018-12-20 21:40:07+00:00,,
Advanced search appears briefly on page loads,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/224,1.0,2019-02-26 21:57:14+00:00,,3.1
Space after colon in fielded keyword searches are leading to strange results,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/223,,2019-02-19 22:19:10+00:00,wontfix,3.1
Not excluding Word Lists and Dictionaries on initial load,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/222,,2018-12-20 19:09:51+00:00,bug,
"As a user, I want my search results from the Title field to prioritize unstemmed matches and boost title over subtitle.",ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/221,,2018-12-20 20:18:22+00:00,,
Title field should also search subtitle,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/220,,2018-12-20 19:16:42+00:00,bug,
Clean up images in `sitemedia/`,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/219,1.0,2018-12-18 18:54:17+00:00,chore,v3.0 - Initial public version (soft launch)
Clean up <head> metadata,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/218,,2018-12-20 19:49:54+00:00,,
Advanced search pulldown styles,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/217,1.0,2018-12-18 20:36:03+00:00,,v3.0 - Initial public version (soft launch)
"As a user, I want the advanced search pulldown state that I have selected to be preserved when I reload the page so that my view of the search form is stable and consistent without having to continually modify my selection.",ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/215,1.0,2018-12-18 21:32:34+00:00,,v3.0 - Initial public version (soft launch)
Styles: image captions,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/209,1.0,2018-12-18 18:08:47+00:00,,v3.0 - Initial public version (soft launch)
Styles: footnotes,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/208,1.0,2018-12-17 18:53:15+00:00,,v3.0 - Initial public version (soft launch)
Change srcid notation to source_id for fielded search,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/207,0.0,2018-12-13 18:42:31+00:00,,v3.0 - Initial public version (soft launch)
Clean up Zeplin for PPA,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/204,,2018-12-18 20:57:19+00:00,,
Add notes on Zeplin about error page image dimensions and placement ,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/201,,2018-12-06 15:22:34+00:00,design,
Add error page images ,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/200,,2018-12-06 19:44:36+00:00,design,
Change default sort to Relevance for keyword searches,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/199,0.0,2018-12-14 16:27:31+00:00,,v3.0 - Initial public version (soft launch)
"Fix ""method_count"" issue in ppa/archive/models.py",ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/198,,2019-03-25 17:48:41+00:00,chore;code climate,
Using actual numbers for date range causes works without a date to go missing when form is submitted,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/196,1.0,2018-12-12 20:57:23+00:00,,v3.0 - Initial public version (soft launch)
Harmonize site colors with Zeplin,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/192,1.0,2018-12-04 18:56:24+00:00,chore,v3.0 - Initial public version (soft launch)
Create a second version of the contributors page without the images,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/191,,2018-12-04 17:33:19+00:00,design,
Search in-progress indicator design,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/189,1.0,2018-12-08 06:32:24+00:00,design,v3.0 - Initial public version (soft launch)
Description needs to strip hyperlinks from preview text,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/188,1.0,2018-12-10 18:45:00+00:00,,v3.0 - Initial public version (soft launch)
Tablet/mobile style issues,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/187,,2019-02-27 23:43:18+00:00,,
Non-sequential publication dates break search,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/186,1.0,2018-12-12 20:55:25+00:00,,v3.0 - Initial public version (soft launch)
"As an admin, I want to correct basic item-level metadata errors and preserve those corrections so that I can override discrepancies in source materials for display on the site.",ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/183,3.0,2019-02-27 15:26:04+00:00,,3.1
Image sizes for editorial and other content pages,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/181,1.0,2018-11-30 16:59:40+00:00,design,
Search in-progress UX,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/178,2.0,2018-12-17 19:22:32+00:00,,v3.0 - Initial public version (soft launch)
Handle invalid search cases in form UI,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/177,1.0,2018-12-11 21:44:25+00:00,,v3.0 - Initial public version (soft launch)
Lazy load search result preview images to improve performance,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/176,2.0,2019-03-04 19:45:45+00:00,,3.1
Set up Google Analytics,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/175,1.0,2018-11-30 16:31:43+00:00,chore,v0.11.0
Style updates: fonts,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/173,1.0,2018-12-12 14:49:23+00:00,,v3.0 - Initial public version (soft launch)
Style updates: error pages,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/172,1.0,2018-12-17 19:12:05+00:00,,v3.0 - Initial public version (soft launch)
Error Page Styles (404/500),ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/170,2.0,2018-12-05 14:38:21+00:00,design,v3.0 - Initial public version (soft launch)
Style updates: collections page,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/169,1.0,2018-12-05 19:16:10+00:00,,v3.0 - Initial public version (soft launch)
Adding an image in wagtail breaks page design,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/165,0.0,2018-11-30 19:07:20+00:00,,v0.11.0
Style updates: search form,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/163,2.0,2018-12-18 21:28:10+00:00,,v3.0 - Initial public version (soft launch)
"As an admin, I want to manually enter bibliographic information into editable fields so that users can view and search citations for works not available in Hathi. ",ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/162,2.0,2018-12-18 18:28:50+00:00,,v3.0 - Initial public version (soft launch)
"As an admin, I should not be able to edit wagtail content in the Django admin so that I don't uninintentionally break content by editing it in the wrong place.",ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/161,0.0,2018-11-29 22:05:59+00:00,,v0.11.0
"As a content editor, I want to list people who contributed to the project so that I can give credit to everyone who was involved in it.",ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/160,2.0,2018-12-18 20:52:18+00:00,,v3.0 - Initial public version (soft launch)
"As a content editor, I want to control how the description of my editorial content is displayed when on PPA, when shared, and when searched.",ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/159,2.0,2018-11-30 19:59:43+00:00,,v0.11.0
"As a content editor, I want to be able to add and order multiple authors to an editorial so I can correctly attribute work.",ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/150,2.0,2018-12-05 20:30:04+00:00,,v3.0 - Initial public version (soft launch)
"As a user, I want keyword searches to prioritize matches in the author, title and public notes fields so that I can easily find works using keywords.",ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/149,5.0,2018-12-14 16:07:54+00:00,,v3.0 - Initial public version (soft launch)
"As a user, I want to exclude or include items from any of the collections in PPA so that I can refine my search to include relevant items.",ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/148,3.0,2018-12-04 15:31:55+00:00,,v3.0 - Initial public version (soft launch)
Contributors Page Styling,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/147,1.0,2018-11-28 15:56:08+00:00,design,v0.11.0
Collection Tags (Inclusion/Exclusion) Filters,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/146,3.0,2018-11-28 15:57:06+00:00,design,v0.11.0
Editorial Writer Edit View ,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/145,,2018-11-27 17:17:39+00:00,design,
Editorial Writer View ,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/144,,2018-11-27 17:17:39+00:00,design,
Editorial Reader View Details,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/143,2.0,2018-11-28 15:57:16+00:00,design,v0.11.0
Editorial Thumbnail Reader View,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/142,2.0,2018-11-28 15:57:20+00:00,design,v0.11.0
Up/down arrows broken on max pub field,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/138,1.0,2018-11-29 21:58:21+00:00,,
Implement content security policy,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/137,,2018-12-20 18:26:34+00:00,chore,
Use subresource integrity for external js,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/136,,2018-12-20 18:16:34+00:00,chore,
add robots.txt with link to xml sitemaps,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/135,0.0,2018-11-16 15:43:20+00:00,chore,
Solr range facet data issues,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/131,1.0,2018-11-30 15:56:32+00:00,bug,v0.11.0
"As an admin, I want the CSV export to include subtitles and sort titles so I can check imported and cleaned field values.",ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/130,0.0,2018-11-16 19:36:16+00:00,,
"As an admin, I want the site to provide XML sitemaps for content pages, collection and archive pages, and digitized works so that site content will be findable by search engines.",ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/129,1.0,2018-11-16 21:15:17+00:00,,v0.10.0
"As a user, I want item titles to be case-insensitive when sorting, so that I can find content alphabetically.",ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/127,2.0,2018-11-16 19:29:08+00:00,,v0.10.0
Footer is broken in WebKit browsers,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/126,0.0,2018-11-01 19:05:42+00:00,,v0.9.0
Page sometimes deformats when user presses back button in browser,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/125,1.0,2018-11-15 19:32:30+00:00,,v0.10.0
Pub date display and histogram are broken on Chrome,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/124,1.0,2018-11-15 19:45:58+00:00,,v0.10.0
Style updates: search sorting and pagination,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/123,2.0,2018-12-04 22:03:56+00:00,,v3.0 - Initial public version (soft launch)
Scrollbar should be hidden on mobile,ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/122,1.0,2019-02-26 22:16:36+00:00,,3.1
"Add a ""jump to top"" button on search results",ppa-django,https://api.github.com/repos/Princeton-CDH/ppa-django/issues/121,2.0,2018-12-12 21:43:55+00:00,,v3.0 - Initial public version (soft launch)
